ID	ALIGNMENT	COGIDS	CONCEPT	CONCEPTICON	DOCULECT	FORM	MORPHEMES	SUBGROUP	TOKENS	VALUE	BORIDS	PATIDS	NOTE
14280	n o - - - - n t a - - - - - - - - - - - + w u x	7663 7964	Lagenaria siceraria	None	Iyowujwa	nónta+wúj		Matacoan	n o n t a + w u x	nónta+wúj	None	None	
14281	m a s t i + n o - - - - n t a - - - - - - - - - - -	8128 7663	Lagenaria siceraria	None	Iyowujwa	másti+nónta		Matacoan	m a s t i + n o n t a	másti+nónta	None	None	
14282	n o - - - - n t a - - - - - - - - - - - + s a m ʰl j e	7663 8129	Lagenaria siceraria	None	Iyowujwa	nónta+sámjlie		Matacoan	n o n t a + s a m ʰl j e	nónta+sámjlie	None	None	
14283	n o - - - - n t a - - - - - - - - - - - + n o s i k i	7663 8130	Lagenaria siceraria	None	Iyowujwa	nónta+nósiki		Matacoan	n o n t a + n o s i k i	nónta+nósiki	None	None	
14284	n o - - - - n t a k a m a t a j i s - -	7663	Lagenaria siceraria	None	Iyowujwa	nóntakámatayís		Matacoan	n o n t a k a m a t a j i s	nóntakámatayís	None	None	
14285	s i ʰn ai + x i + l e s	7906 8131 7907	Cucurbita pepo	None	Iyowujwa	sijnáy+ji+lés		Matacoan	s i ʰn ai + x i + l e s	sijnáy+ji+lés	None	None	
14286	s i ʰn a j i + x i + t oi + x i + l e s	7906 8131 8132 1549 7907	Cucurbita pepo	None	Iyowujwa	sijnáyi+ji+tóy+ji+lés		Matacoan	s i ʰn a j i + x i + t oi + x i + l e s	sijnáyi+ji+tóy+ji+lés	None	None	
14287	i p j aː t a + l i s	7345 8133	Zea mays	None	Iyowujwa	ipiáata+lís	maize _:dim	Matacoan	i p j aː t a + l i s	ipiáatalís	None	None	
14288	i s eː + t a s	8095 7873	Bromelia hieronymi	None	Iyowujwa	isée+tas		Matacoan	i s eː + t a s	isée+tas	None	None	
14289	x i ʰw e t j u s + k a tsʔ i t u tsʔ i	7488 8134	Bulnesia foliosa	None	Iyowujwa	jijwétius káts’itúts’i		Matacoan	x i ʰw e t j u s + k a tsʔ i t u tsʔ i	jijwétius káts’itúts’i	None	None	
14290	- - a ʔ l a + t e w a k + i + w e t + ʰl e l e	7545 8135 8136 8103 1468	Lippia alba	None	Iyowujwa	a’lá+tewák+i+wét+jléle	tree ? ? place proper	Matacoan	a ʔ l a + t e w a k + i + w e t + ʰl e l e	a’lá+tewák+i+wét+jléle	None	None	
14291	i s t - a ʰw e - + k a + w a j i k	8018 8019 8020	Vallesia glabra	None	Iyowujwa	istájwe+ká+wayik	charata ? ?	Matacoan	i s t a ʰw e + k a + w a j i k	istájwe ká wayik	None	None	
14292	ʰw i j i t + x i + l e s + x i m p e	4990 7868 2324	Pseudabutilon virgatum	None	Iyowujwa	undefined	cold _:pos/xi ?	Matacoan	ʰw i j i t + x i + l e s + x i m p e	jwiyít+ji+lés+jimpé	None	None	
14293	ʰw i j i - - t - - + x i + l e s + x i m p e	4990 7868 6171	Sphaeralcea bonariensis	None	Iyowujwa	5282 5283 5284 5285 0	cold _:pos/xi ?	Matacoan	ʰw i j i t + x i + l e s + x i m p e	jwiyít+ji+lés+jimpé	None	None	
14294	o x o n i kˀ j u + x i + k a s + x i + ⁿp e	8137 6393 7881 7882 7881 7883	Castela coccinea	None	Iyowujwa	ojónik’iu+ji+kás+jimpé	chuña_bird _:pos/xi food _:pos/xi similar	Matacoan	o x o n i kˀ j u + x i + k a s + x i + ⁿp e	ojónik’iu jikás jimpé	None	None	
14295	s i ˀj u s + t a t e + ʰl e k i + w a j i k	7927 6522 8008 4266	Solanum argentinum	None	Iyowujwa	si’yús+taté+jléki+wáyik	fish eye pupil ?	Matacoan	s i ˀj u s + t a t e + ʰl e k i + w a j i k	si’yús taté jléki wáyik	None	None	
14296	s i j u s + t a t e + ʰl e k i + x i + m p e	3503 3310 3500 3311 3314 3503 3310 3500 3502 3314 3503 3310 3500 3499 3314 3503 3502 3503 3312 3314 6948	Solanum argentinum	None	Iyowujwa	siyús+taté+jléki+jimpé	fish eye pupil _:poss similar	Matacoan	s i j u s + t a t e + ʰl e k i + x i m p e	siyús taté jléki jimpé	None	None	
14297	tˀ a k a + tˀ o u ʔ n + s e s i n	7951 7453 8138	Heimia salicifolia	None	Iyowujwa	t’aká+t’ou’n+sesin	rope stiff ?	Matacoan	tˀ a k a + tˀ o u ʔ n + s e s i n	t’aká t’ou’n sesin	None	None	
14298	tʔ a k a + tʔ o u ʔ n + s e s i n	7877 7506 8139	Capraria biflora	None	Iyowujwa	t’aká+t’ou’n+sesin		Matacoan	tʔ a k a + tʔ o u ʔ n + s e s i n	t’aká+t’ou’n+sesin	None	None	
14299	k a l ai + tˀ o u ʔ n + s e ʔ i n	6884 7453	Heimia salicifolia	None	Iyowujwa	kalái+t’óu’nse’in	? stiff ?	Matacoan	k a l ai + tˀ o u ʔ n + s e ʔ i n	kalái t’óu’nse’in	None	None	
14300	k a l ai + tʔ o u ʔ n s e ʔ i n	7470 7506	Capraria biflora	None	Iyowujwa	kalái+t’óu’nse’in		Matacoan	k a l ai + tʔ o u ʔ n s e ʔ i n	kalái+t’óu’nse’in	None	None	
14301	w oi k i + x i + k a + ʰw ai + x i + m p e	8140 7868 8006 7358 7868 2409	Senna morongii	None	Iyowujwa	wóyki+ji+ká+jwa’áy+jimpé	fox _:poss _:med algarroba _:poss similar	Matacoan	w oi k i + x i + k a + ʰw ai + x i + m p e	wóyki jikájwa’áy jimpé	None	None	
14302	w oi k i + x i + k a + x w ai + x i + m p e	8140 7868 8006 8141 7868 2409	Senna obtusifolia	None	Iyowujwa	wóyki+ji+ká+jwa’áy+jimpé	fox _:poss _:med algarroba _:poss similar	Matacoan	w oi k i + x i + k a + x w ai + x i + m p e	wóyki jikájwa’áy jimpé	None	None	
14303	w oi k i + x i + k a + ʰw a ʔ ai + x i + m p e	8140 7868 8006 7350 7868 2409	Senna pendula	None	Iyowujwa	wóyki+ji+ká+jwa’áy+jimpé	fox _:poss _:med algarroba _:poss similar	Matacoan	w oi k i + x i + k a + ʰw a ʔ ai + x i + m p e	wóyki jikájwa’áy jimpé	None	None	
14304	w oi k i + x i + k a + x w ai + x i + m p e	8140 7868 8006 8141 7868 2409	Senna occidentalis	None	Iyowujwa	wóyki+ji+ká+jwa’áy+jimpé	fox _:poss _:med algarroba _:poss similar	Matacoan	w oi k i + x i + k a + x w ai + x i + m p e	wóyki jikájwa’áy jimpé	None	None	
14305	s a x a k + k a l a + x i + m p e	8142 8143 7868 2409	Asclepias mellodora	None	Iyowujwa	saják kalá+jimpé	chajá paw _:pos/xi similar	Matacoan	s a x a k + k a l a + x i + m p e	saják kalá+jimpé	None	None	
14306	e j e + - - x i - - + l e x e n a t e s + x i m p e	8144 7868 7357 7868 2409	Rivina humilis	None	Iyowujwa	4738 4737 4732 4739 0	_:pos/xi ? _:pos/xi similar	Matacoan	e j e + x i + l e x e n a t e s + x i m p e	éye+ji+léjenates+jimpé	None	None	
14307	a m ʰl a ʔ + t a s + x i + m p e	3421 4120 7868 2409	Bidens pilosa	None	Iyowujwa	ámjla’+tás+jimpé	ostrich eyelash _:poss similar	Matacoan	a m ʰl a ʔ + t a s + x i + m p e	ámjla’ tás jimpé	None	None	
14308	i x m a l s a + i + - - ʰw e t i s - j u + - - m p e	8145 7985 7986 2409	Pectis odorata	None	Iyowujwa	ijmálsa+i+jwétisiu+mpé	wasp _:poss root similar	Matacoan	i x m a l s a + i + ʰw e t i s j u + m p e	ijmálsa ijwétisiu mpé	None	None	
14309	k i ʰw a tsˀ i + x i + k a s + x i + m p e	8146 7986 7868 6908 7868 2409	Pectis odorata	None	Iyowujwa	kijwáts’i+ji+kás+jimpé	? _:poss food _:poss similar	Matacoan	k i ʰw a tsˀ i + x i + k a s + x i + m p e	kijwáts’i jikás jimpé	None	None	
14310	o ʰw a t a + k a s + x i + m p e	8147 5760 7868 2409	Boerhavia diffusa	None	Iyowujwa	ójwata+kás+jimpé	dove food _:poss similar	Matacoan	o ʰw a t a + k a s + x i + m p e	undefined	None	None	
14311	s e - - - ʔ e t a ʔ a - + x i + w e t - + i + - k j e ʔ	6910 8104 8103 8148 7990	Pluchea sagittalis	None	Iyowujwa	sé’eta’a+ji+wet+i+kyé’	_:pos/xi place ? ?	Matacoan	s e ʔ e t a ʔ a + x i + w e t + i + k j e ʔ	sé’eta’a+ji+wet+i+kyé’	None	None	
14312	s j e ʰn a n a + x i + k a s + i + - - m p e	7924 7868 7926 1875 2409	Dysphania ambrosioides	None	Iyowujwa	siéjnana+ji+kás+i+mpé	_:pos/xi ? ? similar	Matacoan	s j e ʰn a n a + x i + k a s + i + m p e	siéjnana+ji+kás+i+mpé	None	None	
14313	ts e x m a t a k i + k a s + x i m p e	7921 7922 7868 2409	Datura ferox	None	Iyowujwa	tsejmatáki+kás+jimpé	? _:pos/xi similar	Matacoan	ts e x m a t a k i + k a s + x i m p e	2103 2104 2105 0	None	None	
14314	ts e x m a t a k i + k a s + x i m p e	7956 7957 7868 2409	Ibicella lutea	None	Iyowujwa	tsejmatáki+kás+jimpé	? _:pos/xi similar	Matacoan	ts e x m a t a k i + k a s + x i m p e	2878 2879 2880 0	None	None	
14315	ts e x m a t a k i + x i + k a + k iː t i + m p e	7956 7868 7957 8149 2409	Ibicella lutea	None	Iyowujwa	tsejmatáki+ji+ká+kiití+mpé	_:pos/xi ? ? similar	Matacoan	ts e x m a t a k i + x i + k a + k iː t i + m p e	tsejmatáki+ji+ká+kiití+mpé	None	None	
14316	o l a ʔ a + k a s + x i + m p e	5243 4042 7868 2409	Croton bonplandianus	None	Iyowujwa	óla’a+kás+jimpé	dove food _:poss similar	Matacoan	o l a ʔ a + k a s + x i + m p e	óla’a kás jimpé	None	None	
14317	o ʰw o t a ʔ a + k a s + x i + m p e	5243 4042 7868 2409	Croton bonplandianus	None	Iyowujwa	ójwota’a+kás+jimpé	dove food _:poss similar	Matacoan	o ʰw o t a ʔ a + k a s + x i + m p e	ójwota’a kás jimpé	None	None	
14318	p a l s i p a	7483	Euphorbia serpens	None	Iyowujwa	pálsipa		Matacoan	p a l s i p a	pálsipa	None	None	
14319	p a l s i p a	8150	Euphorbia oranensis	None	Iyowujwa	pálsipa		Matacoan	p a l s i p a	pálsipa	None	None	
14320	- - i n j - o n - - a + w e t + ʰl e l e -	767 8103 1468	Ipomoea amnicola	None	Iyowujwa	inióna+wét+jléle	place proper	Matacoan	i n j o n a + w e t + ʰl e l e	inióna+wét+jléle	None	None	
14321	ts e n i x e n a j i + tʔ a k a + x i + m p e	767 4400 7868 2409	Ipomoea amnicola	None	Iyowujwa	tsénijenayi+t’aká+ji+mpé	? _:pos/xi similar	Matacoan	ts e n i x e n a j i + tʔ a k a + x i + m p e	tsénijenayi+t’aká+ji+mpé	None	None	
14322	kʔ j u x s	23	Tragia hieronymi	None	Iyowujwa	k‘iújs		Matacoan	kʔ j u x s	k‘iújs	None	None	
14323	kʔ j u x s	1958	Parietaria debilis	None	Iyowujwa	k‘iújs		Matacoan	kʔ j u x s	k‘iújs	None	None	
14324	k i ʰn j e + k a s + x i m p e	8151 8152 7868 2409	Cucumis anguria	None	Iyowujwa	kíjnye+kás+jimpé	? _:pos/xi similar	Matacoan	k i ʰn j e + k a s + x i m p e	undefined	None	None	
14325	k i ʰw e l + x i + k a s i l i + m p e	8153 7868 8154 2409	Odontocarya asarifolia	None	Iyowujwa	kíjwel+ji+kásili+mpé	_:pos/xi ? similar	Matacoan	k i ʰw e l + x i + k a s i l i + m p e	kíjwel+ji+kásili+mpé	None	None	
14326	n o ʔ o + x i + k j e n i s i s + x i + m p e	8111 2409 6399 2409 6081	Passiflora mooreana	None	Iyowujwa	n o ʔ o + x i + k i e n i s i s + x i + m p e	dog _:poss testicles _:poss similar	Matacoan	n o ʔ o + x i + k j e n i s i s + x i + m p e	nó’o jikiénisis jimpé	None	None	
14327	n o ʔ o + x i + w o s + i + k j e ʔ	8111 7890 7862 614 1236	Cissus palmata	None	Iyowujwa	nó’o+ji+wós+i+kyé’	dog ? worm ? ?	Matacoan	n o ʔ o + x i + w o s + i + k j e ʔ	nó’o+ji+wós+i+kyé’	None	None	
14328	n o ʔ o + l a j e - + x i m p e	8111 7887	Cissus palmata	None	Iyowujwa	nó’o+layé+jimpé	dog ?	Matacoan	n o ʔ o + l a j e + x i m p e	1559 1554 1564 0	None	None	
14329	tʔ i n ts o ʔ i n	8155	Saccharum officinarum	None	Iyowujwa	t’íntso’in		Matacoan	tʔ i n ts o ʔ i n	t’íntso’in	None	None	
14330	a ʔ n - a t + ʰl o t	456 1806	Azolla caroliniana	None	Iyowujwa	a’nát+jlót	water ?	Matacoan	a ʔ n a t + ʰl o t	a’nát+jlót	None	None	
14331	a ʔ n - a t + ʰl o t	7988 7989	Pistia stratiotes	None	Iyowujwa	a’nát+jlót	water cover	Matacoan	a ʔ n a t + ʰl o t	a’nát jlót	None	None	
14332	a ʔ n - a t + ʰl o t	5791 6617	Limnobium spongia	None	Iyowujwa	a’nát+jlót	water ?	Matacoan	a ʔ n a t + ʰl o t	a’nát+jlót	None	None	
14333	a l e x j e n a k i + k a s + x i m p e	2979 2980 7868 2409	Cyrtopodium punctatum	None	Iyowujwa	aléjienaki+kás+jimpé	? _:pos/xi similar	Matacoan	a l e x j e n a k i + k a s + x i m p e	undefined	None	None	
14334	k i t j e ʔ e n i + x i + k a s + x i m p e	8156 7949 8157 7868 2409	Gymnocalycium mihanovichii	None	Iyowujwa	2694 2689 2695 2696 0	? ? _:pos/xi similar	Matacoan	k i t j e ʔ e n i + x i + k a s + x i m p e	kitié’eni+ji+kás+jimpé	None	None	
14335	a ˀl a + x i + kˀ j o t e + ⁿp e	4050 7999 3132 7999	Pycnoporus sanguineus	None	Iyowujwa	a’lá+ji+k’ióte+mpé	tree _:poss ear similar	Matacoan	a ˀl a + x i + kˀ j o t e + ⁿp e	a’lá jik’ióte mpé	None	None	
14336	a ʔ l a + x i + kʔ j o t e + m p e	7545 7868 7494 2409	Ganoderma resinaceum	None	Iyowujwa	a’lá+ji+k’ióte+mpé	tree _:pos/xi ear similar	Matacoan	a ʔ l a + x i + kʔ j o t e + m p e	a’lá+ji+k’ióte+mpé	None	None	
14337	a ʔ l eː n a + x i + kˀ j o t e + w ai + x i + m p e	7930 7576 7494 8158 7868 2409	Eichhornia azurea	None	Iyowujwa	a’leená+ji+k’ióte+wai+jimpé	tapir _:poss ear ? _:poss similar	Matacoan	a ʔ l eː n a + x i + kˀ j o t e + w ai + x i + m p e	a’leená jik’ióte wai jimpé	None	None	
14338	ʰl a m o + ʰl o ʔ o + m p e	7253 7870 2409	Battarrea stevenii	None	Iyowujwa	jlamó+jló’o+mpé	demon penis similar	Matacoan	ʰl a m o + ʰl o ʔ o + m p e	jlamó jló’o mpé	None	None	
14339	a k o j - - e + k a s + x i m p e	7975 7976 7868 2409	Nymphaea jamesoniana	None	Iyowujwa	akoyé+kás+jimpé	? _:pos/xi similar	Matacoan	a k o j e + k a s + x i m p e	3664 3665 3667 0	None	None	
14340	s a ʔ t i + x i + - w a - + - a l i s a + m p e	4878 7868 2612 3879 2409	Usnea sulcata	None	Iyowujwa	sá’ti+ji+wá+álisa+mpé	_:pos/xi ? ? similar	Matacoan	s a ʔ t i + x i + w a + a l i s a + m p e	sá’ti+ji+wá+álisa+mpé	None	None	
14341	a ʔ l a + k j o t e + w ai + x i + m p e ʔ	7545 5972 1439 7868 3699	Basidiomycetes	None	Iyowujwa	a'lá+kyóte+wai+ji+mpé'	tree ear ? _:pos/xi similar	Matacoan	a ʔ l a + k j o t e + w ai + x i + m p e ʔ	a'lá+kyóte+wai+ji+mpé'	None	None	
14342	ʰl a m o + k j o t e + x i + m p e ʔ	5037 5972 7868 3699	Basidiomycetes	None	Iyowujwa	jlamó+kyóte+ji+mpé'	ear _:pos/xi similar	Matacoan	ʰl a m o + k j o t e + x i + m p e ʔ	jlamó+kyóte+ji+mpé'	None	None	
14343	j e l w a	7959	Ilex paraguariensis	None	Iyowujwa	yélwa		Matacoan	j e l w a	yélwa	None	None	
14344	l aː w o + i s j e t	5317 4938	Zinnia peruviana	None	Iyowujwa	láawo+isiét		Matacoan	l aː w o + i s j e t	láawo+isiét	None	None	
14345	o ʰn a j u k	7531 7532	Capparis retusa	None	Iyowujwa	ójnay+uk		Matacoan	o ʰn a j u k	ójnay+uk	None	None	
14346	- s j e ʰn a n a - + k a s - + i + m p e ʔ	6089 3698 5558 3699	Chenopodium ambrosioides	None	Iyowujwa	siéjnana+kás+i+mpé'	deer food _:poss similar	Matacoan	s j e ʰn a n a + k a s + i + m p e ʔ	siéjnana kás impé'	None	None	
14347	k a l a + m i ʃ t a + t o j i	5588 8159 1061	Eleutherine bulbosa	None	Iyowujwa	kalá+mishtá+tóyi		Matacoan	k a l a + m i ʃ t a + t o j i	kalá+mishtá+tóyi	None	None	
14348	ʰw e ʰw e + x i + k a s + i + m p e ʔ	348 7868 860 1616 3699	Phoradendron liga	None	Iyowujwa	jwéjwé+ji+kás+i+mpé'	some_bird _:poss food _:poss similar	Matacoan	ʰw e ʰw e + x i + k a s + i + m p e ʔ	jwéjwé jikás impé'	None	None	
14349	a m ʰl a	8160	Rhea americana	None	Manjui	amjla		Matacoan	a m ʰl a	amjla	None	None	
14350	a ʰn a h + h i w o ʔ	1662 1663	Leptotila verreauxi	None	Manjui	ajnáj jiwo'	night ?	Matacoan	a ʰn a h + h i w o ʔ	ajnáj jiwo'	None	None	
14351	a s e n a	1501	Eudromia formosa	None	Manjui	asena	donkey	Matacoan	a s e n a	asena	None	None	
14352	a t i t i t	2317	Picumnus cirratus	None	Manjui	atitit		Matacoan	a t i t i t	atitit	None	None	
14353	a ʔ t a ʔ	2927	Cathartes aura	None	Manjui	a'tá'	crow	Matacoan	a ʔ t a ʔ	a'tá'	None	None	
14354	a ʔ t a ʔ	2927	Cathartes burrovianus	None	Manjui	a'tá'	crow	Matacoan	a ʔ t a ʔ	a'tá'	None	None	
14355	a ʰw e ʰn e + k i ʔ + i t u l a	8163 8164	Molothrus bonariensis	None	Manjui	ajwéjneki' itula	bird _:? black	Matacoan	a ʰw e ʰn e + k i ʔ + i t u l a	ajwéjneki' itula	None	None	
14356	- e l e ʔ	3873	Amazona aestiva	None	Manjui	ele'	parrot	Matacoan	e l e ʔ	ele'	None	None	
14357	ʔ e s t a	8165	Mimus saturninus	None	Manjui	'esta		Matacoan	ʔ e s t a	'esta	None	None	
14358	i ʰn eː ʔ l a ʔ	8166 8167	Lagostomus maximus	None	Manjui	ijnéela'		Matacoan	i ʰn eː ʔ l a ʔ	ijnéela'	None	None	
14359	i ʰn i l s a	2391	Tayassu pecari	None	Manjui	ijnílsa		Matacoan	i ʰn i l s a	ijnílsa	None	None	
14360	i s t - a ʰw e ʔ	3380	Ortalis canicollis	None	Manjui	istájwe'		Matacoan	i s t a ʰw e ʔ	istájwe'	None	None	
14361	h u n i - ʔ i -	8062	Chunga burmeisteri	None	Manjui	juni'i		Matacoan	h u n i ʔ i	juni'i	None	None	
14362	h u p ai h + ʰl a + w o n aː	674 8169	Sicalis flaveola	None	Manjui	jupáij jlawonaa	grass _:poss inhabitant	Matacoan	h u p ai h + ʰl a + w o n aː	jupáij jlawonaa	None	None	
14364	q a s ei w o ʔ o	5834	Phimosus infuscatus	None	Manjui	kaséiwo'o		Matacoan	q a s ei w o ʔ o	kaséiwo'o	None	None	
14365	q a s u ʔ s e	8170	Chaetophractus vellerosus	None	Manjui	kasú'se		Matacoan	q a s u ʔ s e	kasú'se	None	None	
14366	q a ʰw q a ʰw	7683	Theristicus caudatus	None	Manjui	kajwkájw		Matacoan	q a ʰw q a ʰw	kajwkájw	None	None	
14367	- - q - a j e h	420	Cairina moschata	None	Manjui	kayéj	duck	Matacoan	q a j e h	kayéj	None	None	
14368	k i - - ʔ i ʔ	8059	Glaucidium brasilianum	None	Manjui	ki'i'		Matacoan	k i ʔ i ʔ	ki'i'	None	None	
14369	k i l i l i k	8171	Falco sparverius	None	Manjui	kililík		Matacoan	k i l i l i k	kililík	None	None	
14370	k i n i - - - ʃ e	5223	Platalea ajaja	None	Manjui	kinize		Matacoan	k i n i ʃ e	kinize	None	None	
14371	- - k i ʰn e ʔ e	7799	Pecari tajacu	None	Manjui	kijne'e		Matacoan	k i ʰn e ʔ e	kijne'e	None	None	
14372	l u t a	2495	Cariama cristata	None	Manjui	luta		Matacoan	l u t a	luta	None	None	
14373	ʔ l e ʰn aː k i ʔ	8172	Aotus azarae	None	Manjui	'lejnaaki'		Matacoan	ʔ l e ʰn aː k i ʔ	'lejnaaki'	None	None	
14374	ʔ l i n a h	8173	Tapirus terrestris	None	Manjui	'lináj		Matacoan	ʔ l i n a h	'lináj	None	None	
14375	- o q a - s a -	7750	Dasypus novemcinctus	None	Manjui	okasa		Matacoan	o q a s a	okasa	None	None	
14376	o ʰw o ʔ + - - t a	8174 1807	Zenaida auriculata	None	Manjui	ojwo'+ta	_:aum _:aum	Matacoan	o ʰw o ʔ + t a	ojwo'+ta	None	None	
14377	p i - s a h	7772	Jabiru mycteria	None	Manjui	pisáj		Matacoan	p i s a h	pisáj	None	None	
14378	- s a h a q	7188	Chauna torquata	None	Manjui	saják		Matacoan	s a h a q	saják	None	None	
14379	s a ʔ t i	8175	Furnarius rufus	None	Manjui	sa'ti		Matacoan	s a ʔ t i	sa'ti	None	None	
14380	s i h -	8176	Nothoprocta cinerascens	None	Manjui	sij		Matacoan	s i h	sij	None	None	
14381	- s o m ʔ	7675	Cyanocorax chrysops	None	Manjui	som'		Matacoan	s o m ʔ	som'	None	None	
14382	t a ʰw e t a	8177	Phalacrocorax brasilianus	None	Manjui	tajwéta		Matacoan	t a ʰw e t a	tajwéta	None	None	
14383	t e - u t e - u	7123	Vanellus chilensis	None	Manjui	teutéu		Matacoan	t e u t e u	teutéu	None	None	
14384	t i l ai h	8178	Melanerpes candidus	None	Manjui	tiláij		Matacoan	t i l ai h	tiláij	None	None	
14385	- ʔ - u s t a	4688	Tyto alba	None	Manjui	'usta		Matacoan	ʔ u s t a	'usta	None	None	
14386	w a ʔ - l u w oː	4280	Rostrhamus sociabilis	None	Manjui	wa'luwoo		Matacoan	w a ʔ l u w oː	wa'luwoo	None	None	
14387	w i a	2754	Colaptes campestris	None	Manjui	wia		Matacoan	w i a	wia	None	None	
14388	w o - ʔ p i	423	Egretta thula	None	Manjui	wo'pi		Matacoan	w o ʔ p i	wo'pi	None	None	
14389	ʔ w a h + h e m p e h	8179 4925	Nycticorax nycticorax	None	Manjui	'waj jempéj	 _:similar	Matacoan	ʔ w a h + h e m p e h	'waj jempéj	None	None	
14390	ˀw a h ei h + h i + w o + k i ʔ	5650 6520	Tamandua tetradactyla	None	Manjui	'wajéij jiwoki'	? _:poss inhabitant _:fem	Matacoan	ˀw a h ei h + h i + w o + k i ʔ	'wajéij jiwoki'	None	None	
14391	- - ʰw i q i n a - + w o ʔ	7664 8181	Procyon cancrivorus	None	Manjui	jwikína wo'	north inhabitant	Matacoan	ʰw i q i n a + w o ʔ	jwikína wo'	None	None	
14392	ʰw i q i s	3008	Coragyps atratus	None	Manjui	jwikís		Matacoan	ʰw i q i s	jwikís	None	None	
14393	ʰw i ʔ n i ʔ n e	8182	Dendrocygna bicolor	None	Manjui	jwi'ni'ne		Matacoan	ʰw i ʔ n i ʔ n e	jwi'ni'ne	None	None	
14394	j e ʰw o	538	Mycteria americana	None	Manjui	yejwo		Matacoan	j e ʰw o	yejwo	None	None	
14395	j e ʰw o	538	Ciconia maguari	None	Manjui	yejwo		Matacoan	j e ʰw o	yejwo	None	None	
14396	j o h k i l e	1821	Crypturellus tataupa	None	Manjui	yojkile		Matacoan	j o h k i l e	yojkile	None	None	
14397	ʔ j ei ʔ j ei	1645	Jacana jacana	None	Manjui	'yéi'yéi		Matacoan	ʔ j ei ʔ j ei	'yéi'yéi	None	None	
14398	ʃ i l o ʔ t a ʰw ei	6615	Nystalus maculatus	None	Manjui	ziló'tajwei		Matacoan	ʃ i l o ʔ t a ʰw ei	ziló'tajwei	None	None	
14399	ʃ u ʃ u ʔ	8183	Xiphocolaptes major	None	Manjui	zuzu'		Matacoan	ʃ u ʃ u ʔ	zuzu'	None	None	
14400	ʔ ʃ a ʰl a ʰl a l	8184	Ozotoceros bezoarticus	None	Manjui	'zajlajlal		Matacoan	ʔ ʃ a ʰl a ʰl a l	'zajlajlal	None	None	
14401	ʔ ʃ a ʰl a ʰl a l	8184	Blastocerus dichotomus	None	Manjui	'zajlajlal		Matacoan	ʔ ʃ a ʰl a ʰl a l	'zajlajlal	None	None	
14402	s i p e p + lˠ + - o q	4947 4063 6081	Achatocarpus praecox	None	Wichi	Sipep+lh+oq	dove _:pos food	Matacoan	s i p e p + lˠ + o q	Sipep+lh+oq	None	None	
14403	tʃ e ɬ j e kʷ	8186 8187	Schinopsis lorentzii	None	Wichi	Chelhyekw		Matacoan	tʃ e ɬ j e kʷ	Chelhyekw	None	None	
14404	i s - t - e n i -	7623	Aspidosperma quebracho blanco	None	Wichi	Isteni		Matacoan	i s t e n i	Isteni	None	None	
14405	i s - t e n i - + - - t a q	7624 7312	Aspidosperma triternatum	None	Wichi	Isteni+taq	_:anomalous	Matacoan	i s t e n i + t a q	Isteni+taq	None	None	
14406	i s - t e n i - + - - t a s	7624 7312	Aspidosperma triternatum	None	Wichi	Isteni+tas	_:anomalous	Matacoan	i s t e n i + t a s	Isteni+tas	None	None	
14407	l ai + t a q	8188 7312	Aspidosperma triternatum	None	Wichi	Lay+taq	_:anomalous	Matacoan	l ai + t a q	Lay+taq	None	None	
14408	ts a m a n e kʷ	6950 8187	Vallesia glabra	None	Wichi	Tsamanekw	_:tree	Matacoan	ts a m a n e kʷ	Tsamanekw	None	None	
14409	h w i tʃ + e k w	8189 8187	Copernicia alba	None	Wichi	Jwich+ekw	_:tree	Matacoan	h w i tʃ + e k w	Jwich+ekw	None	None	
14410	h w i ts o n a h	8190	Baccharis salicifolia	None	Wichi	Jwitsonaj		Matacoan	h w i ts o n a h	Jwitsonaj	None	None	
14411	s i n t + a q -	6689 8191	Tessaria integrifolia	None	Wichi	Sint+aq		Matacoan	s i n t + a q	Sint+aq	None	None	
14412	t o n t + e k w	6689 8187	Tessaria integrifolia	None	Wichi	Tont+ekw	_:tree	Matacoan	t o n t + e k w	Tont+ekw	None	None	
14413	- - h e l - - + e q	3716 5570	Tabebuia nodosa	None	Wichi	Hel+eq		Matacoan	h e l + e q	Hel+eq	None	None	
14414	ts e m lˠ + o k w	6744 8192	Ceiba chodatii	None	Wichi	Tsemlh+okw		Matacoan	ts e m lˠ + o k w	Tsemlh+okw	None	None	
14415	tʃ o h o t + e k w	5217 8187	Cereus forbesii	None	Wichi	Chohot+ekw	_:tree	Matacoan	tʃ o h o t + e k w	Chohot+ekw	None	None	
14416	t u n a s - - -	3705	Opuntia ficus-indica	None	Wichi	Tunas		Matacoan	t u n a s	Tunas	None	None	
14417	ts u w a + j e k w	8193 7650	Opuntia quimilo	None	Wichi	Tsuwa+yekw		Matacoan	ts u w a + j e k w	Tsuwa+yekw	None	None	
14418	- i - s - - t - - - + a q	5821 5505	Stetsonia coryne	None	Wichi	Ist+aq		Matacoan	i s t + a q	Ist+aq	None	None	
14419	- - j e l a - h	5504	Stetsonia coryne	None	Wichi	Yelaj		Matacoan	j e l a h	Yelaj	None	None	
14420	o h n - - - + - - - - j e k w	7531 7532	Capparis retusa	None	Wichi	Ohn+yekw		Matacoan	o h n + j e k w	Ohn+yekw	None	None	
14421	u h n + a q	8194 2778	Capparis salicifolia	None	Wichi	Uhn+aq		Matacoan	u h n + a q	Uhn+aq	None	None	
